,state,year,quarter,registered_user
513,manipur,2020,Q2,215496
514,manipur,2020,Q3,258563
515,manipur,2020,Q4,288772
516,manipur,2021,Q1,312668
517,manipur,2021,Q2,335409
518,manipur,2021,Q3,361749
519,manipur,2021,Q4,387746
520,manipur,2022,Q1,411900
521,manipur,2022,Q2,434563
522,manipur,2022,Q3,457063
523,manipur,2022,Q4,477292
524,manipur,2023,Q1,498337
525,manipur,2023,Q2,519799
526,manipur,2023,Q3,541572
527,manipur,2023,Q4,564130
528,meghalaya,2018,Q1,18513
529,meghalaya,2018,Q2,26618
530,meghalaya,2018,Q3,37281
531,meghalaya,2018,Q4,49634
532,meghalaya,2019,Q1,61487
533,meghalaya,2019,Q2,74746
534,meghalaya,2019,Q3,87395
535,meghalaya,2019,Q4,100030
536,meghalaya,2020,Q1,113814
537,meghalaya,2020,Q2,136211
538,meghalaya,2020,Q3,157741
539,meghalaya,2020,Q4,176447
540,meghalaya,2021,Q1,190869
541,meghalaya,2021,Q2,205686
542,meghalaya,2021,Q3,223065
543,meghalaya,2021,Q4,240268
544,meghalaya,2022,Q1,255839
545,meghalaya,2022,Q2,269943
546,meghalaya,2022,Q3,283487
547,meghalaya,2022,Q4,295322
548,meghalaya,2023,Q1,308324
549,meghalaya,2023,Q2,322382
550,meghalaya,2023,Q3,336282
551,meghalaya,2023,Q4,349330
552,mizoram,2018,Q1,7593
553,mizoram,2018,Q2,10422
554,mizoram,2018,Q3,14502
555,mizoram,2018,Q4,19365
556,mizoram,2019,Q1,23670
557,mizoram,2019,Q2,28696
558,mizoram,2019,Q3,34134
559,mizoram,2019,Q4,39809
560,mizoram,2020,Q1,46499
561,mizoram,2020,Q2,55574
562,mizoram,2020,Q3,68315
563,mizoram,2020,Q4,78731
564,mizoram,2021,Q1,85750
565,mizoram,2021,Q2,92552
566,mizoram,2021,Q3,100647
567,mizoram,2021,Q4,108405
568,mizoram,2022,Q1,115295
569,mizoram,2022,Q2,121535
570,mizoram,2022,Q3,127735
571,mizoram,2022,Q4,132870
572,mizoram,2023,Q1,138751
573,mizoram,2023,Q2,145061
574,mizoram,2023,Q3,151378
575,mizoram,2023,Q4,157627
576,nagaland,2018,Q1,15074
577,nagaland,2018,Q2,22436
578,nagaland,2018,Q3,32090
579,nagaland,2018,Q4,42997
580,nagaland,2019,Q1,53911
581,nagaland,2019,Q2,66891
582,nagaland,2019,Q3,80077
583,nagaland,2019,Q4,93124
584,nagaland,2020,Q1,107143
585,nagaland,2020,Q2,130205
586,nagaland,2020,Q3,173106
587,nagaland,2020,Q4,192188
588,nagaland,2021,Q1,207808
589,nagaland,2021,Q2,223337
590,nagaland,2021,Q3,241797
591,nagaland,2021,Q4,259990
592,nagaland,2022,Q1,276483
593,nagaland,2022,Q2,292104
594,nagaland,2022,Q3,307386
595,nagaland,2022,Q4,321205
596,nagaland,2023,Q1,335936
597,nagaland,2023,Q2,351024
598,nagaland,2023,Q3,366203
599,nagaland,2023,Q4,381162
600,odisha,2018,Q1,1594015
601,odisha,2018,Q2,2185781
602,odisha,2018,Q3,2795718
603,odisha,2018,Q4,3623911
604,odisha,2019,Q1,4320744
605,odisha,2019,Q2,4845359
606,odisha,2019,Q3,5387209
607,odisha,2019,Q4,6115537
608,odisha,2020,Q1,6652970
609,odisha,2020,Q2,7258315
610,odisha,2020,Q3,7901755
611,odisha,2020,Q4,8598751
612,odisha,2021,Q1,9233009
613,odisha,2021,Q2,9891029
614,odisha,2021,Q3,10652490
615,odisha,2021,Q4,11399235
616,odisha,2022,Q1,12124779
617,odisha,2022,Q2,12801990
618,odisha,2022,Q3,13493282
619,odisha,2022,Q4,14127239
620,odisha,2023,Q1,14787083
621,odisha,2023,Q2,15420061
622,odisha,2023,Q3,16064459
623,odisha,2023,Q4,16680992
624,puducherry,2018,Q1,49318
625,puducherry,2018,Q2,65580
626,puducherry,2018,Q3,81546
627,puducherry,2018,Q4,109494
628,puducherry,2019,Q1,133059
629,puducherry,2019,Q2,156458
630,puducherry,2019,Q3,177868
631,puducherry,2019,Q4,204292
632,puducherry,2020,Q1,230908
633,puducherry,2020,Q2,255600
634,puducherry,2020,Q3,285173
635,puducherry,2020,Q4,319626
636,puducherry,2021,Q1,346279
